customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
C00001,Male,No,No,No,31,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,104.54,3230.97,1
C00002,Female,Yes,No,No,49,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card,81.88,4039.73,0
C00003,Male,Yes,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,34.91,586.33,0
C00004,Male,No,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,27.6,587.74,0
C00005,Female,No,No,No,16,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,95.3,1624.47,1
C00006,Male,No,Yes,Yes,37,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,69.67,2669.64,0
C00007,Male,No,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,25.54,152.83,0
C00008,Male,Yes,Yes,No,50,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,69.17,3452.95,0
C00009,Female,No,No,No,4,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,69.29,319.68,0
C00010,Female,No,No,No,15,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,78.95,1154.79,1
C00011,Female,No,Yes,Yes,70,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer,88.1,6242.66,0
C00012,Male,No,No,Yes,16,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer,95.64,1617.61,1
C00013,Male,No,Yes,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.46,928.25,0
C00014,Male,Yes,Yes,Yes,66,No,No phone service,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,63.02,4159.13,0
C00015,Female,No,No,No,14,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Mailed check,82.48,1113.5,1
C00016,Female,No,No,No,5,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,87.89,387.18,1
C00017,Male,No,Yes,No,50,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,85.72,4322.76,0
C00018,Female,No,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,96.43,1752.25,1
C00019,Male,No,Yes,No,44,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,69.43,3100.66,0
C00020,Male,No,No,No,48,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,90.03,4345.52,1
C00021,Male,No,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card,101.22,4241.76,0
C00022,Female,No,No,No,21,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,56.73,1221.93,1
C00023,Male,No,No,Yes,48,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card,91.32,4345.27,0
C00024,Male,No,Yes,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,33.05,1893.43,0
C00025,Male,Yes,Yes,No,65,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,No,Credit card,68.19,4502.41,1
C00026,Female,No,No,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,25.51,1057.52,0
C00027,Female,No,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.75,292.47,0
C00028,Female,No,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,32.77,1056.49,0
C00029,Female,No,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,90.64,245.52,1
C00030,Male,No,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,100.66,5024.75,1
C00031,Male,No,Yes,No,9,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,71.13,674.5,1
C00032,Male,No,No,No,44,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,79.31,3527.86,0
C00033,Female,No,Yes,No,58,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,89.2,5143.28,0
C00034,Female,No,No,No,4,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,51.04,163.19,1
C00035,Female,Yes,No,Yes,49,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer,78.54,3839.47,1
C00036,Female,No,No,Yes,25,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,92.45,2329.21,1
C00037,Female,Yes,No,Yes,39,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,80.35,3102.84,1
C00038,Female,No,Yes,No,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,102.22,198.21,1
C00039,Female,No,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,74.7,681.94,1
C00040,Male,No,Yes,Yes,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,97.58,3045.64,1
C00041,Female,No,No,No,51,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Credit card,89.24,4580.93,1
C00042,Male,No,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,618.98,0
C00043,Male,No,Yes,Yes,7,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,78.33,596.16,0
C00044,Female,No,No,No,30,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,60.16,1776.87,1
C00045,Male,No,Yes,Yes,2,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,75.95,90.15,1
C00046,Male,No,Yes,No,32,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card,63.86,1981.96,0
C00047,Female,No,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,101.0,5384.98,0
C00048,Female,No,Yes,No,36,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer,89.16,3155.51,1
C00049,Male,No,Yes,Yes,13,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,94.93,1209.67,1
C00050,Female,No,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,34.41,1350.03,0
C00051,Female,No,Yes,Yes,46,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer,55.53,2439.43,0
C00052,Female,No,Yes,Yes,20,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,67.58,1305.77,0
C00053,Male,No,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,29.49,1423.58,0
C00054,Male,No,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer,96.81,4044.0,0
C00055,Male,No,No,Yes,14,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,97.27,1385.48,1
C00056,Male,No,No,No,18,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card,69.16,1267.91,1
C00057,Female,No,Yes,No,48,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Credit card,79.5,3784.21,0
C00058,Male,No,Yes,Yes,7,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer,60.0,398.33,1
C00059,Female,No,Yes,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.07,923.47,0
C00060,Female,No,Yes,No,39,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,87.52,3480.97,0
C00061,Male,No,No,No,29,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,99.92,2826.56,1
C00062,Female,No,Yes,Yes,47,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card,83.08,3956.95,1
C00063,Male,No,Yes,Yes,9,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,71.12,556.71,1
C00064,Male,No,Yes,No,36,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,97.63,3558.48,1
C00065,Male,No,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.2,699.46,0
C00066,Male,No,No,Yes,20,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card,72.54,1465.11,1
C00067,Male,No,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,23.83,757.54,0
C00068,Female,Yes,No,No,53,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,73.84,3982.05,0
C00069,Female,No,No,No,28,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,482.96,0
C00070,Female,No,Yes,Yes,62,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card,68.18,4240.9,0
C00071,Female,No,Yes,Yes,41,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,74.48,3023.96,0
C00072,Female,No,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,107.03,492.14,1
